Character,Speed,Acceleration,Weight,Handling,Traction/Grip,Mini-Turbo,Times First Place,Total Races
Lemmy Koopa,2.25,4.25,2,4.75,3.75,4,1,27
Baby Mario,2.5,4.25,2,4.5,4,3.75,8,38
Baby Luigi,2.5,4.25,2,4.5,4,3.75,11,17
Bowser Jr,2.75,4,2.5,4.5,4.25,3.75,8,11
Toadette,2.75,4.25,2.5,4.25,3.5,3.75,1,14
Toad,3,4,2.75,4.25,4,3.5,12,22
Shy Guy,3,4,2.75,4.25,4,3.5,13,23
Peach,3.5,3.75,3,3.75,3.75,3.5,17,36
Daisy,3.5,3.75,3,3.75,3.75,3.5,17,33
Yoshi,3.5,3.75,3,3.75,3.75,3.5,3,8
Tanooki Mario,3.5,3.75,3.25,3.75,3.25,3.5,2,28
Luigi,3.75,3.5,3.5,3.75,3.25,3.25,19,37
Mario,3.75,3.5,3.5,3.5,3.5,3.25,19,42
Link,4,3.25,3.75,3.25,3.75,3.25,7,18
Donkey Kong,4.5,3.25,4,3,3,3,1,18
Waluigi,4.5,3.25,4,3,3,3,5,6
Wario,4.75,3,4.25,2.75,3.25,2.75,17,27
Metal Mario,4.25,3.25,4.5,3.25,3.25,3,18,43
Bowser,4.75,3,4.5,2.5,3,2.75,11,34
